LicenseSerialNumber,LicenseTypeName,LicenseClassCode,LicenseTypeCode,AgencyZoneOfficeName,AgencyZoneOfficeNumber,CountyNameLicensee,PremisesName,DBA,Address1,Address2,City,State,Zip,LicenseCertificateNumber,LicenseOriginalIssueDate,LicenseEffectiveDate,LicenseExpirationDate,Latitude,Longitude,Location,add
1223610,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,DOLORES PARK LLC,MISSION DOLORES,249 4TH AVE,4TH AVE & CARROLL ST,BROOKLYN,NY,11215,856700,2/9/2010,2/1/2016,1/31/2018,40.67617847,-73.98370176,"(40.67617847, -73.98370176)",249 4TH AVE   BROOKLYN   11215
1223617,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,EAST 14TH STREET OF BROOKLYN LLC,RIVERWALK BAR & GRILL,425 MAIN STREET,MAIN ST ON ROOSEVELT ISLAND,NEW YORK,NY,10044,850409,7/29/2009,7/1/2015,6/30/2017,40.7590756,-73.95369483,"(40.7590756, -73.95369483)",425 MAIN STREET   NEW YORK   10044
1223639,TAVERN WINE,344,TW,New York City,1,KINGS,LA BOCA WINE BAR LLC,THE BODEGA,24 SAINT NICHOLAS AVENUE,TROUTMAN AND STARR,BROOKLYN,NY,11237,863182,2/22/2010,2/1/2015,1/31/2017,40.70751865,-73.92174258,"(40.70751865, -73.92174258)",24 SAINT NICHOLAS AVENUE   BROOKLYN   11237
1223671,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,SCOOCH INC,CUBANA CAFE,80 6TH AVE,,BROOKLYN,NY,11217,854607,10/30/2009,10/8/2015,9/30/2017,40.67992164,-73.97493709,"(40.67992164, -73.97493709)",80 6TH AVE   BROOKLYN   11217
1223673,TAVERN WINE,344,TW,New York City,1,KINGS,NUNU CHOCOLATES LLC,,529 ATLANTIC AVE,3RD AVE & 4TH AVE,BROOKLYN,NY,11217,871180,8/3/2009,8/1/2015,7/31/2017,40.68513093,-73.98009954,"(40.68513093, -73.98009954)",529 ATLANTIC AVE   BROOKLYN   11217
1223674,TAVERN WINE,344,TW,New York City,1,KINGS,HL KOELN CORP,DIE STAMMKNEIPE / DER SCHWARZE KOLNER,710 FULTON STREET,,BROOKLYN,NY,112171662,871528,8/7/2009,8/1/2015,7/31/2017,40.68589803,-73.97358599,"(40.68589803, -73.97358599)",710 FULTON STREET   BROOKLYN   112171662
1223677,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,RARE CHELSEA RESTAURANT GROUP LLC,RARE BAR AND GRILL,152 W 26TH ST,GROUND FLOOR,NEW YORK,NY,10001,834669,4/5/2010,4/17/2014,3/31/2016,40.74538203,-73.99295147,"(40.74538203, -73.99295147)",152 W 26TH ST   NEW YORK   10001
1223702,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,NOBI SUSHI INC,,437 3RD AVENUE,E 30TH ST AND E 31STST,NEW YORK,NY,10016,828799,8/10/2009,8/1/2015,7/31/2017,40.7433777,-73.97973029,"(40.7433777, -73.97973029)",437 3RD AVENUE   NEW YORK   10016
1223708,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,ICHICA BACHICA INC,1 OR 8,66 S 2ND STREET,KENT AVE AND WYTHE AVE,BROOKLYN,NY,11211,856656,2/5/2010,2/1/2016,1/31/2018,40.71426323,-73.96529744,"(40.71426323, -73.96529744)",66 S 2ND STREET   BROOKLYN   11211
1223727,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,CARAVAGGIO INC,,23 E 74TH STREET,FIFTH AVE AND MADISON AVE,NEW YORK,NY,10021,850657,7/8/2009,7/2/2015,6/30/2017,40.77330009,-73.9648008,"(40.77330009, -73.9648008)",23 E 74TH STREET   NEW YORK   10021
