,address,categories,id,lat,long,name,orig_add,rating,review_count
1163,14 Duryea Pl,"[Category(name=u'Cafes', alias=u'cafes')]",delroys-cafe-brooklyn,40.64526011,-73.95784509,Delroy's Cafe,14 DURYEA PLACE BROOKLYN 11226,3.0,6
1164,58 Greenwich Ave,"[Category(name=u'Sandwiches', alias=u'sandwiches')]",the-original-sandwich-shoppe-of-new-york-new-york,40.73586643,-74.00060307,The Original Sandwich Shoppe of New York,54 58 GREENWICH AVENUE NEW YORK 10011,4.0,124
1165,67 Lafayette Ave,"[Category(name=u'Burgers', alias=u'burgers')]",67-burger-brooklyn,40.68711413,-73.97586504,67 Burger,63 LAFAYETTE AVE BROOKLYN 11217,4.0,496
1166,179 Prince St,"[Category(name=u'Sushi Bars', alias=u'sushi')]",nagomi-new-york,40.72627972,-74.00180224,Nagomi,177 PRINCE STREET NEW YORK 10012,3.0,75
1167,129 W 67th St,"[Category(name=u'Music Venues', alias=u'musicvenues'), Category(name=u'Performing Arts', alias=u'theater')]",merkin-concert-hall-new-york,40.78068509,-73.98120795,Merkin Concert Hall,2130 BROADWAY GROUND FLOOR NEW YORK 10023,4.0,13
1168,32 W 37th St,"[Category(name=u'Steakhouses', alias=u'steak'), Category(name=u'American (New)', alias=u'newamerican')]",frankie-and-johnnies-steak-house-new-york-3,40.75081655,-73.9844813,Frankie & Johnnie's Steak House,32 W 37TH ST NEW YORK 10018,3.5,106
1169,29A Clinton St,"[Category(name=u'American (New)', alias=u'newamerican')]",thelma-on-clinton-new-york,40.72041624,-73.98444758,Thelma On Clinton,29 CLINTON STREET NEW YORK 10002,4.0,107
1170,Atlantic Ave,"[Category(name=u'Halal', alias=u'halal')]",halal-food-cart-brooklyn,40.65448261,-74.01081538,Halal Food Cart,36 40 5TH AVE BROOKLYN 11217,4.0,1
1171,320 Park Ave,"[Category(name=u'Salad', alias=u'salad'), Category(name=u'Soup', alias=u'soup'), Category(name=u'Juice Bars & Smoothies', alias=u'juicebars')]",just-salad-new-york-2,40.75723983,-73.97408504,Just Salad,320 PARK AVE NEW YORK 10022,3.0,127
1172,5603 5th Ave,"[Category(name=u'Mexican', alias=u'mexican')]",el-sol-migueleno-brooklyn,40.64168372,-74.01377819,El Sol Migueleno,5603 5TH AVENUE BROOKLYN 11220,3.5,3
1173,185 Bleecker St,"[Category(name=u'Vegan', alias=u'vegan'), Category(name=u'Vegetarian', alias=u'vegetarian')]",by-chloe-new-york,40.72911352,-74.00094982,By Chloe,183 BLEECKER STREET NEW YORK 10012,4.0,847
1174,201 W 79th St,"[Category(name=u'French', alias=u'french'), Category(name=u'Breakfast & Brunch', alias=u'breakfast_brunch'), Category(name=u'Gluten-Free', alias=u'gluten_free')]",nice-matin-new-york,40.78321775,-73.97832932,Nice Matin,201 WEST 79TH STREET NEW YORK 10024,3.5,527
1175,794 Washington Ave,"[Category(name=u'American (New)', alias=u'newamerican')]",shanes-brooklyn-brooklyn,40.67418405,-73.96313566,Shanes Brooklyn,794 WASHINGTON AVE BROOKLYN 11238,3.5,212
1176,2791 Broadway,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Italian', alias=u'italian')]",mezzogiorno-new-york-2,40.80250758,-73.96791248,Mezzogiorno,2787 BROADWAY NEW YORK 10025,3.5,13
1177,877 10th Ave,"[Category(name=u'Chinese', alias=u'chinese'), Category(name=u'Thai', alias=u'thai')]",ocean-dragon-new-york,40.76915894,-73.98859869,Ocean Dragon,875 10TH AVE NEW YORK 10019,3.0,43
1178,322 E 14th St,"[Category(name=u'Gay Bars', alias=u'gaybars'), Category(name=u'Dance Clubs', alias=u'danceclubs')]",nowhere-new-york,40.73206845,-73.984436,Nowhere,322 E 14TH ST NEW YORK 10003,3.5,105
1179,1262 Amsterdam Ave,"[Category(name=u'Italian', alias=u'italian')]",max-caffe-new-york,40.81073582,-73.95825478,Max Caffe,1262 AMSTERDAM AVE NEW YORK 10027,3.5,167
1180,3083 Brighton 1st Pl,"[Category(name=u'American (New)', alias=u'newamerican'), Category(name=u'Japanese', alias=u'japanese'), Category(name=u'Sushi Bars', alias=u'sushi')]",sachiko-brooklyn,40.57647325,-73.96707712,Sachiko,3083 BRIGHTON 1ST PLACE BROOKLYN 11235,3.0,17
1181,2117 3rd Ave,"[Category(name=u'Cafes', alias=u'cafes')]",kahluas-cafe-new-york,40.79771478,-73.94011396,Kahlua's Cafe,2117 3RD AVENUE NEW YORK 10029,3.5,20
1182,662 Fulton St,"[Category(name=u'Turkish', alias=u'turkish'), Category(name=u'Mediterranean', alias=u'mediterranean')]",deniz-turkish-mediterranean-cuisine-brooklyn,40.68674336,-73.97564435,Deniz Turkish Mediterranean Cuisine,660 FULTON STREET BROOKLYN 11217,3.5,170
1183,253 Broome St,"[Category(name=u'Mexican', alias=u'mexican'), Category(name=u'Bars', alias=u'bars')]",barrio-chino-new-york,40.71799353,-73.99001963,Barrio Chino,253 BROOME STREET NEW YORK 10002,4.0,904
1184,205 E 55th St,"[Category(name=u'American (Traditional)', alias=u'tradamerican')]",sidecar-new-york-2,40.75893751,-73.96840307,Sidecar,915 3RD AVE NEW YORK 10022,3.5,64
1185,113 Ludlow St,"[Category(name=u'Filipino', alias=u'filipino'), Category(name=u'Gluten-Free', alias=u'gluten_free')]",kuma-inn-new-york,40.71940702,-73.98875426,Kuma Inn,113 LUDLOW ST NEW YORK 10002,3.5,357
1186,465 Myrtle Ave,"[Category(name=u'Chinese', alias=u'chinese')]",kum-kau-brooklyn,40.69343412,-73.96664918,Kum Kau,463 467 MYRTLE AVENUE BROOKLYN 11205,3.5,173
1187,275 Smith St,"[Category(name=u'Chicken Wings', alias=u'chicken_wings'), Category(name=u'Burgers', alias=u'burgers'), Category(name=u'Sports Bars', alias=u'sportsbars')]",the-wing-bar-brooklyn,40.68260162,-73.99317999,The Wing Bar,273 SMITH ST BROOKLYN 11231,4.0,233
1188,2651 Broadway,"[Category(name=u'Chinese', alias=u'chinese'), Category(name=u'Peruvian', alias=u'peruvian')]",flor-de-mayo-new-york-3,40.79767038,-73.9697839,Flor de Mayo,2651 BROADWAY NEW YORK 10025,4.0,385
1189,68 Jay St,"[Category(name=u'Cafes', alias=u'cafes'), Category(name=u'Desserts', alias=u'desserts')]",burrow-brooklyn,40.70276306,-73.98674066,Burrow,68 JAY STREET BROOKLYN 11201,4.5,29
1190,318 West 53rd Street,"[Category(name=u'Comedy Clubs', alias=u'comedyclubs')]",comedysportz-new-york-2,40.76434795,-73.98533863,ComedySportz,318 WEST 53RD ST NEW YORK 10019,5.0,11
1191,135 Columbus Ave,"[Category(name=u'Cafes', alias=u'cafes'), Category(name=u'Sandwiches', alias=u'sandwiches'), Category(name=u'Coffee & Tea', alias=u'coffee')]",europan-cafe-new-york-9,40.77349308,-73.98156039,Europan Cafe,135 COLUMBUS AVE NEW YORK 10023,2.5,11
1192,842 Seventh Ave,"[Category(name=u'Seafood', alias=u'seafood'), Category(name=u'Steakhouses', alias=u'steak')]",oyster-bar-manhattan,40.76597043,-73.98724511,Oyster Bar,400 1/2 W 54TH ST NEW YORK 10019,4.0,1
1193,264 Grand St,"[Category(name=u'Bars', alias=u'bars')]",clems-brooklyn,40.7132776,-73.95842231,Clem's,264 GRAND STREET BROOKLYN 11211,4.0,67
1194,1501 Broadway,"[Category(name=u'American (New)', alias=u'newamerican'), Category(name=u'Burgers', alias=u'burgers'), Category(name=u'Music Venues', alias=u'musicvenues')]",hard-rock-cafe-new-york-10,40.75749275,-73.98600647,Hard Rock Cafe,1501 BROADWAY NEW YORK 10036,3.5,529
1195,209 E 49th St,"[Category(name=u'Mexican', alias=u'mexican'), Category(name=u'Latin American', alias=u'latin')]",pampano-new-york,40.75556851,-73.97085308,Pampano,805 3RD AVE AKA 209 E 49TH ST NEW YORK 10022,4.0,452
1196,641 W 51st St,"[Category(name=u'Adult Entertainment', alias=u'adultentertainment')]",larry-flynts-hustler-club-new-york,40.76692294,-73.9950137,Larry Flynt's Hustler Club,639 641 W 51ST STREET NEW YORK 10019,2.5,34
1197,37 W 54th St,"[Category(name=u'Sushi Bars', alias=u'sushi'), Category(name=u'Thai', alias=u'thai')]",ny-thai-grill-and-sushi-bar-new-york,40.76160116,-73.97651313,NY Thai Grill & Sushi Bar,37 W 54TH STREET NEW YORK 10019,2.5,89
